nome,sagas,imagem
Goku,"Saiyajins,Freeza,Cell,Majin Buu",imagens/personagens/goku.png
Piccolo,"Saiyajins,Freeza,Cell",imagens/personagens/piccolo.png
Gohan Kid,"Saiyajins,Freeza",imagens/personagens/GohanKid.png
Raditz,"Saiyajins",imagens/personagens/raditz.png
Nappa,"Saiyajins",imagens/personagens/nappa.png
Vegeta (saga Saiyajin),"Saiyajins",imagens/personagens/vegetaSagaSayajin.png
Vegeta,"Freeza,Cell,Majin Buu",imagens/personagens/vegeta.png
Tropas Ginyu,"Freeza",imagens/personagens/tropasGinyu.png
Freeza,"Freeza",imagens/personagens/freeza.png
Goku Super Saiyajin,"Freeza",imagens/personagens/GokuSSJ.png
Cell,"Cell",imagens/personagens/cell.png
Gohan Super Saiyajin 2,"Cell",imagens/personagens/GohanSSJ2.png
Majin Buu,"Majin Buu",imagens/personagens/majinbuu.png
Dabura,"Majin Buu",imagens/personagens/Dabura.png
Babidi,"Majin Buu",imagens/personagens/Babidi.png
Gotenks,"Majin Buu",imagens/personagens/gotenks.png
Ultimate Gohan,"Majin Buu",imagens/personagens/UltimateGohan.png
